name,category,tag,address,description,by_appointment,email,latitude,longitude,on_campus,Cal1Card_Accepted,EatWell_Accepted,Average_Meal,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours
Station @ Wellman Hall,Map Marker,Water,,"By floor:
2 Gooseneck filler/fountain in central hallway
3 Fountain in central hallway
4 Fountain in central hallway",No,Not Available,37.873023,-122.262785,Yes,,,,,,,,,,,
Station @ Wheeler Hall,Map Marker,Water,,"By floor:
1 Motion-sensor filler/fountain in hallway by South Drive 
2 Motion-sensor filler/fountain in hallway stairway by South Drive 
3 Motion-sensor filler/fountain by main two stairwells ",No,Not Available,37.8713136,-122.2591478,Yes,,,,,,,,,,,
Station @ Wurster Hall,Map Marker,Water,,"By floor:
1 Motion-sensor filler/fountain underneath stairwell by restrooms",No,Not Available,37.8707352,-122.2548935,Yes,,,,,,,,,,,
Bin @ Berkeley Way Offsite,Map Marker,Waste,,,No,Not Available,37.8707352,-122.2548935,Yes,,,,,,,,,,,
Bin @ California Hall,Map Marker,Waste,,,No,Not Available,37.87219201,-122.260056,Yes,,,,,,,,,,,
Bin @ North Entrance Memorial Glade,Map Marker,Waste,,,No,Not Available,37.87326917,-122.2599746,Yes,,,,,,,,,,,
Bin @ University Library,Map Marker,Waste,,,No,Not Available,37.87284757,-122.2593365,Yes,,,,,,,,,,,
Bin @ North Gate Entrance,Map Marker,Waste,,,No,Not Available,37.87456175,-122.2601911,Yes,,,,,,,,,,,
Bin @ V&A Cafe and Etcheverry,Map Marker,Waste,,,No,Not Available,37.87561717,-122.2589365,Yes,,,,,,,,,,,
Bin @ Sutardja Dali Hall and Yali's,Map Marker,Waste,,,No,Not Available,37.87487324,-122.2589027,Yes,,,,,,,,,,,
Bin @ Sutardja Dai Hall and Yali's,Map Marker,Waste,,,No,Not Available,37.87457207,-122.2587756,Yes,,,,,,,,,,,
Bin @ Cory Hall,Map Marker,Waste,,,No,Not Available,37.87533585,-122.2575532,Yes,,,,,,,,,,,
Bin @ Betchel Terrace Cafe,Map Marker,Waste,,,No,Not Available,37.87410601,-122.2584779,Yes,,,,,,,,,,,
Bin @ Bechtel and Evans,Map Marker,Waste,,,No,Not Available,37.87396522,-122.258146,Yes,,,,,,,,,,,
Bin @ Hearst Mining Main Entrance,Map Marker,Waste,,,No,Not Available,37.87408696,-122.2571321,Yes,,,,,,,,,,,
Bin @ Evans Hall Bus Stop,Map Marker,Waste,,,No,Not Available,37.87342347,-122.2573839,Yes,,,,,,,,,,,
Bin @ Stanley Hall,Map Marker,Waste,,,No,Not Available,37.87386121,-122.2565279,Yes,,,,,,,,,,,
Bin @ Le Conte Hall,Map Marker,Waste,,,No,Not Available,37.8726991,-122.257871,Yes,,,,,,,,,,,
Bin @ Bancroft Library,Map Marker,Waste,,,No,Not Available,37.87239289,-122.2585805,Yes,,,,,,,,,,,
Bin @ Campanile,Map Marker,Waste,,,No,Not Available,37.87225447,-122.2578241,Yes,,,,,,,,,,,
Bin @ Tan and Campbell,Map Marker,Waste,,,No,Not Available,37.87296058,-122.2566258,Yes,,,,,,,,,,,
Bin @ Latimer Courtyard,Map Marker,Waste,,,No,Not Available,37.87290024,-122.2559794,Yes,,,,,,,,,,,
Bin @ South Path Drive,Map Marker,Waste,,,No,Not Available,37.87219254,-122.2564236,Yes,,,,,,,,,,,
Bin @ Chou Hall,Map Marker,Waste,,,No,Not Available,37.87204794,-122.2546778,Yes,,,,,,,,,,,
Bin @ Cafe Think,Map Marker,Waste,,,No,Not Available,37.87191478,-122.254318,Yes,,,,,,,,,,,
Bin @ May Morrison Hall,Map Marker,Waste,,,No,Not Available,37.8709555,-122.2563492,Yes,,,,,,,,,,,
Bin @ Glade Path,Map Marker,Waste,,,No,Not Available,37.87315167,-122.2587112,Yes,,,,,,,,,,,
Bin @ Chiet Hall,Map Marker,Waste,,,No,Not Available,37.87143743,-122.2539268,Yes,,,,,,,,,,,
Bin @ Cronk Gate,Map Marker,Waste,,,No,Not Available,37.87171932,-122.2530092,Yes,,,,,,,,,,,
Bin @ Coffee Lab,Map Marker,Waste,,,No,Not Available,37.87281634,-122.2558252,Yes,,,,,,,,,,,
Bin @ LibraryandCampanile Way,Map Marker,Waste,,,No,Not Available,37.87172752,-122.258903,Yes,,,,,,,,,,,
Bin @ Campanili East,Map Marker,Waste,,,No,Not Available,37.87179078,-122.258332,Yes,,,,,,,,,,,
Bin @ South Hall Rd. Near Clocktower,Map Marker,Waste,,,No,Not Available,37.87166667,-122.2580556,Yes,,,,,,,,,,,
Bin @ Spieker Plaza Center,Map Marker,Waste,,,No,Not Available,37.86953238,-122.2616335,Yes,,,,,,,,,,,
Bin @ Grade Street,Map Marker,Waste,,,No,Not Available,37.86992118,-122.2608047,Yes,,,,,,,,,,,
Bin @ Zellerbach,Map Marker,Waste,,,No,Not Available,37.86941328,-122.2606173,Yes,,,,,,,,,,,
Bin @ Cesar Chavez,Map Marker,Waste,,,No,Not Available,37.86956494,-122.2603454,Yes,,,,,,,,,,,
Bin @ Bear's Lair,Map Marker,Waste,,,No,Not Available,37.86881354,-122.2600959,Yes,,,,,,,,,,,
Bin @ Cal Book Store,Map Marker,Waste,,,No,Not Available,37.86891517,-122.2599068,Yes,,,,,,,,,,,
Bin @ MLK Courtyard,Map Marker,Waste,,,No,Not Available,37.86908535,-122.2600034,Yes,,,,,,,,,,,
Bin @ MLK Ramp,Map Marker,Waste,,,No,Not Available,37.8693532,-122.2600175,Yes,,,,,,,,,,,
Bin @ Golden Bear Cafe Walkway,Map Marker,Waste,,,No,Not Available,37.86984999,-122.2594767,Yes,,,,,,,,,,,
Bin @ Golden Bear Cafe Entry,Map Marker,Waste,,,No,Not Available,37.86990345,-122.2596078,Yes,,,,,,,,,,,
Bin @ Upper MLK Union,Map Marker,Waste,,,No,Not Available,37.86917323,-122.2593479,Yes,,,,,,,,,,,
Bin @ Bancroft Way,Map Marker,Waste,,,No,Not Available,37.86908138,-122.2590717,Yes,,,,,,,,,,,
Bin @ Sproul Hall Steps,Map Marker,Waste,,,No,Not Available,37.8697735,-122.2592276,Yes,,,,,,,,,,,
Bin @ Sather Gate,Map Marker,Waste,,,No,Not Available,37.87014324,-122.2593613,Yes,,,,,,,,,,,
Bin @ Durant Hall,Map Marker,Waste,,,No,Not Available,37.87115904,-122.2602948,Yes,,,,,,,,,,,
Bin @ Dwinelle Plaza Entry,Map Marker,Waste,,,No,Not Available,37.87077474,-122.2600607,Yes,,,,,,,,,,,
Bin @ Dwinelle Walkway,Map Marker,Waste,,,No,Not Available,37.87094333,-122.2597415,Yes,,,,,,,,,,,
Bin @ Wheeler Walkway,Map Marker,Waste,,,No,Not Available,37.87086234,-122.2592014,Yes,,,,,,,,,,,
Bin @ Sproul Hall UCPD,Map Marker,Waste,,,No,Not Available,37.86912003,-122.2586402,Yes,,,,,,,,,,,
Bin @ Barrows Hall,Map Marker,Waste,,,No,Not Available,37.86990239,-122.2576018,Yes,,,,,,,,,,,
Bin @ Boalt Law,Map Marker,Waste,,,No,Not Available,37.87002679,-122.2542849,Yes,,,,,,,,,,,
"Bin @ Rice & Bones, Wurster",Map Marker,Waste,,,No,Not Available,37.87061064,-122.2550685,Yes,,,,,,,,,,,
Bin @ Kroeber Hall,Map Marker,Waste,,,No,Not Available,37.86956426,-122.2549899,Yes,,,,,,,,,,,
Bin @ A&E Sproul,Map Marker,Waste,,,No,Not Available,37.87008475,-122.2589982,Yes,,,,,,,,,,,
Bin @ Anthony Hall,Map Marker,Waste,,,No,Not Available,37.87054315,-122.2582432,Yes,,,,,,,,,,,
Bin @ Wheeler,Map Marker,Waste,,,No,Not Available,37.87104231,-122.2586915,Yes,,,,,,,,,,,
Bin @ Birge Path,Map Marker,Waste,,,No,Not Available,37.87041373,-122.2554668,Yes,,,,,,,,,,,
Bin @ Hearst Gym - East Side,Map Marker,Waste,,,No,Not Available,37.86965969,-122.2563127,Yes,,,,,,,,,,,
Bin @ HFA and Hearst Gym - West Side,Map Marker,Waste,,,No,Not Available,37.86944213,-122.2574918,Yes,,,,,,,,,,,
Bin @ Spieker Plaza,Map Marker,Waste,,,No,Not Available,37.86893449,-122.2616218,Yes,,,,,,,,,,,
Bin @ Lower Crescent,Map Marker,Waste,,,No,Not Available,37.87060588,-122.2655592,Yes,,,,,,,,,,,
Bin @ Crescent,Map Marker,Waste,,,No,Not Available,37.87182387,-122.2651391,Yes,,,,,,,,,,,
Bin @ Li Ka Shing Hall,Map Marker,Waste,,,No,Not Available,37.87285419,-122.2650493,Yes,,,,,,,,,,,
Bin @ Morgan Hall,Map Marker,Waste,,,No,Not Available,37.8732218,-122.2639308,Yes,,,,,,,,,,,
Bin @ Brown's Cafe,Map Marker,Waste,,,No,Not Available,37.87314554,-122.2649696,Yes,,,,,,,,,,,
Bin @ West Circle,Map Marker,Waste,,,No,Not Available,37.87207741,-122.2633246,Yes,,,,,,,,,,,
Bin @ University Drive,Map Marker,Waste,,,No,Not Available,37.87277664,-122.2624248,Yes,,,,,,,,,,,
Bin @ Moffitt Library @ Cafe Patio,Map Marker,Waste,,,No,Not Available,37.87230989,-122.261057,Yes,,,,,,,,,,,
Bin @ Moffitt Library @ Free Speech Entrance,Map Marker,Waste,,,No,Not Available,37.87230723,-122.2606441,Yes,,,,,,,,,,,
Bin @ Moffitt Library @ Press,Map Marker,Waste,,,No,Not Available,37.87280822,-122.2603347,Yes,,,,,,,,,,,
Bin @ VLSB and Campanile Way,Map Marker,Waste,,,No,Not Available,37.871163,-122.2619255,Yes,,,,,,,,,,,
Bin @ Recreational Sports Facility,Map Marker,Waste,,,No,Not Available,37.86863539,-122.2623865,Yes,,,,,,,,,,,
Bin @ Koshland,Map Marker,Waste,,,No,Not Available,37.87354759,-122.2651391,N,,,,,,,,,,,
Bin @ VLSB Northside,Map Marker,Waste,,,No,Not Available,37.87221662,-122.2618555,Yes,,,,,,,,,,,
Bin @ Mulford Hall,Map Marker,Waste,,,No,Not Available,37.87294788,-122.2644441,Yes,,,,,,,,,,,
Bin @ Campanile Way West Entrance,Map Marker,Waste,,,No,Not Available,37.87077315,-122.2632331,Yes,,,,,,,,,,,
Basic Needs Herb Vertical Garden,Map Marker,Campus Garden,,basicneedssupport@berkeley.edu,No,Not Available,37.869431,-122.259694,Yes,,,,,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Blake Garden,Map Marker,Campus Garden,,"Garden Manager Meghan Ray, 510 524-2449 or meghanray@berkeley.edu",No,Not Available,37.913539,-122.284945,Yes,,,,,Closed,8am-4:30pm,8am-4:30pm,8am-4:30pm,8am-4:30pm,8am-4:30pm,Closed
Campus Ecological Action and Sustainable Design Gardens Barker,Map Marker,Campus Garden,,"Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",No,Not Available,37.873713,-122.265895,N,,,,,Closed,2-4pm,2-4pm,2-4pm,2-4pm,2-4pm,Closed
Campus Ecological Action and Sustainable Design Gardens Giannini,Map Marker,Campus Garden,,"Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",No,Not Available,37.873579,-122.262584,N,,,,,Closed,2-4pm,2-4pm,2-4pm,2-4pm,2-4pm,Closed
Campus Ecological Action and Sustainable Design Gardens Mulford,Map Marker,Campus Garden,,"Jessica Gonzalez, jessica.gonzalez@berkeley.edu and Isabel Ortiz, ixortiz@berkeley.edu",No,Not Available,37.872516,-122.264076,N,,,,,Closed,2-4pm,2-4pm,2-4pm,2-4pm,2-4pm,Closed
Casa Zimbabwe Garden,Map Marker,Campus Garden,,"House Manager, cazhm@bsc.coop",No,Not Available,37.875578,-122.260886,N,,,,,,,,,,,
Clark Kerr Garden,Map Marker,Campus Garden,,clarkkerrgarden@gmail.com,No,Not Available,37.863512,-122.248947,N,,,,,10am-12pm,Closed,Closed,Closed,Closed,1pm-3pm,Closed
Cloyne Court Hotel Garden,Map Marker,Campus Garden,,"House Manager, clohm@bsc.coop",No,Not Available,37.876127,-122.258085,N,,,,,,,,,,,
Faculty and Staff Community Garden,Map Marker,Campus Garden,,"Kim Guess, kguess@berkeley.edu",No,Not Available,37.87296,-122.264874,N,,,,,,,,,,,
Fannie Lou Hamer Garden,Map Marker,Campus Garden,,"Student Manager Gia Jones, gijones@berkeley.edu",No,Not Available,37.86957,-122.258121,N,,,,,,,,,,,
Fenwick Weavers' Village,Map Marker,Campus Garden,,"Landscape Manager, rocland@bsc.coop",No,Not Available,37.865125,-122.260232,N,,,,,,,,,,,
Garden Village,Map Marker,Campus Garden,,"Top Leaf Farms, UCB Housing, Bluma Flower Farms",No,Not Available,37.864575,-122.265032,N,,,,,,,,,,,
Little Medinical Garden,Map Marker,Campus Garden,,,No,Not Available,37.86959,-122.258123,N,,,,,,,,,,,
Lothlorien,Map Marker,Campus Garden,,"House Manager, lothm@bsc.coop",No,Not Available,37.867903,-122.249523,N,,,,,,,,,,,
Multicultural Community Center Garden,Map Marker,Campus Garden,,mcc.community@berkeley.edu,No,Not Available,37.869409,-122.259738,N,,,,,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm
Oxford Tract,Map Marker,Campus Garden,,"Christina Wistrom, cwistrom@berkeley.edu",No,Not Available,37.876408,-122.267206,N,,,,,,,,,,,
Pat Brown Container Garden,Map Marker,Campus Garden,,"Sandra Jacquez, jacquez@berkeley.edu",No,Not Available,37.873359,-122.264898,N,,,,,,,,,,,
Peopleâ Park Community Garden,Map Marker,Campus Garden,,"Darin Bauer, darinallenbauer@yahoo.com",No,Not Available,37.865865,-122.257876,N,,,,,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm,12am-11:59pm
Rochdale Village Apartments,Map Marker,Campus Garden,,"Landscape Manager, rocland@bsc.coop",No,Not Available,37.865605,-122.259789,N,,,,,,,,,,,
Student Organic Garden Association,Map Marker,Campus Garden,,studentorganicfarm@gmail.com,No,Not Available,37.8767,-122.2676,N,,,,,10am-2pm,,,,,,
The UC Village Kids Garden,Map Marker,Campus Garden,,"Center Director Iris Bradford, ivbradford@berkeley.edu",No,Not Available,37.884001,-122.298801,N,,,,,,,,,,,
The University Village Community Garden,Map Marker,Campus Garden,,,No,Not Available,37.88362236,-122.3054856,N,,,,,,,,,,,
UC Berkeley Botanical Garden,Map Marker,Campus Garden,,"Visitor Experience Coordinator Megan Peterson, 510 664-9807 or meganpeterson@berkeley.edu",No,Not Available,37.875163,-122.238594,N,,,,,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm
UC Gill Tract Community Farm,Map Marker,Campus Garden,,"contact@gilltractfarm.org, sogoreatelandtrust@gmail.com, or email on webpage",No,Not Available,37.8864,-122.2982,N,,,,,12am-5pm,11am-2pm,2pm-5pm,11am-2pm,2-5pm,,
Berkeley Student Food Collective,Map Marker,Cafe,2440 Bancroft Way,"Non-profit, collective grocery store dedicated to providing fresh, local, healthy, sustainable, and ethically produced food at affordable prices.",No,Not Available,37.868455,-122.260462,N,Yes,Yes,< $10,,11am-6pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,11am-6pm
Babette ,Map Marker,Cafe,Berkeley Art Museum,"Cafe on the second floor of the Berkeley Art Museum/Pacific Film Archive serving primarily sustainably sourced food and drinks, including locally-roasted Ritual Coffee.",No,Not Available,37.8708,-122.266426,N,No,No,> $15,,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm
Babette South Hall Coffee Bar,Map Marker,Cafe,South Hall,Small kiosk serving a selection of baked goods and locally-roasted Ritual Coffee.,No,Not Available,37.871325,-122.258586,N,No,Yes,< $10,,9am-3pm,9am-3pm,9am-3pm,9am-3pm,9am-3pm,9am-3pm,9am-3pm
I-House Cafe,Map Marker,Cafe,International House,"Cafe serving direct trade coffees, hot breakfasts, fresh pastries, and an array of grab and go salads and sandwiches, some made with local ingredients.",No,Not Available,37.86968,-122.252009,N,Yes,No,< $10,,9am-10pm,7am-11pm,7am-11pm,7am-11pm,7am-11pm,7am-10pm,9am-10pm
I-House Dining Commons,Map Marker,Cafe,International House,"Dining hall serving fresh salads, soup, pasta and specialty items, with a variety of vegan/vegetarian and gluten-free options.",No,Not Available,37.869667,-122.251616,N,No,No,$10-15,,"9:30am-1pm, 6pm-8pm","7:15am-9:30am, 11:30am-1:30pm,6pm-8pm","7:15am-9:30am, 11:30am-1:30pm,6pm-8pm","7:15am-9:30am, 11:30am-1:30pm,6pm-8pm","7:15am-9:30am, 11:30am-1:30pm,6pm-8pm","7:15am-9:30am, 11:30am-1:30pm,6pm-8pm","9:30am-1pm, 6pm-8pm"
Bear Market,Map Marker,Cafe,Residence Halls Unit 3,"One of CalDining's mini grocery stores with grab-and-go meals, snacks, beverages, and health and beauty items CalFresh/SNAP accepted.",No,Not Available,37.867293,-122.260385,No,Yes,No,< $10,,8am-11:59pm,8am-11:59pm,8am-11:59pm,8am-11:59pm,8am-11:59pm,8am-11:59pm,8am-11:59pm
brown's ,Map Marker,Cafe,GPB Teaching Building,"brown's features vegetable-forward and ""better meat"" menu options like grass-fed burgers, with ingredients from within 250 miles of campus when possible.",No,Not Available,37.873334,-122.264876,Yes,Yes,No,$10-15,,Closed,7:30am-6pm,7:30am-6pm,7:30am-6pm,7:30am-6pm,7:30am-4pm,Closed
CK Cub,Map Marker,Cafe,Clark Kerr Campus,"One of CalDining's mini grocery stores with grab-and-go meals, snacks, beverages, and health and beauty items.",No,Not Available,37.863844,-122.248774,No,Yes,No,< $10,,"10am-2pm,5:30pm-8pm","7am-9am,5:30pm-8pm","7am-9am,5:30pm-8pm","7am-9am,5:30pm-8pm","7am-9am,5:30pm-8pm","7am-9am,5:30pm-8pm","10am-2pm,5:30pm-8pm"
Common Grounds,Map Marker,Cafe,Dwinelle Hall,"On the top floor of Dwinelle Hall, Common Grounds offers standard Peetâ coffee and tea products as well as grab-and-go items.",No,Not Available,37.870767,-122.260766,Yes,Yes,No,< $10,,8am-9pm,7:30am-3pm,7:30am-3pm,7:30am-3pm,7:30am-3pm,7:30am-3pm,8am-9pm
Cub Market,Map Marker,Cafe,Foothill Housing Unit  4,"One of CalDining's mini grocery stores with grab-and-go meals, snacks, beverages, and health and beauty items.",No,Not Available,37.875392,-122.256036,No,Yes,No,< $10,,7am-11:59pm,7am-11:59pm,7am-11:59pm,7am-11:59pm,7am-11:59pm,7am-10pm,10am-10pm
Peet's Coffee Cart at RSF,Map Marker,Cafe,Recreational Sports Facility,Coffee cart outside the Recreational Sports Facility serving Peet's Coffee drinks and snacks.,No,Not Available,37.868569,-122.262343,No,No,No,< $10,,Closed,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,Closed
Terrace Cafe,Map Marker,Cafe,Sproul Hall,"Rooftop cafe with grab-and-go salads, sushi, sandwiches, and coffee.",No,Not Available,37.874136,-122.258394,Yes,Yes,No,$10-15,,Closed,7:30pm-3pm,7:30pm-3pm,7:30pm-3pm,7:30pm-3pm,7:30pm-3pm,Closed
The Den,Map Marker,Cafe,Residential Student Services Building,"A retail CalDining location featuring a Peetâ Coffee & Tea store, made-to-order deli and bagel bar, smoothies, and grab-and-go items.",No,Not Available,37.866859,-122.256233,No,Yes,No,< $10,,8am-11:59pm,7am-11:59pm,7am-11:59pm,7am-11:59pm,7am-11:59pm,7am-10:00pm,8am-10pm
The Golden Bear Cafe,Map Marker,Cafe,Chavez Student Center,"Made-to-order grilled items and meals, grab-and-go sandwiches, deli sandwiches including kosher options, sushi, bento boxes, salads, bagel bar, and made-to-order smoothies.",No,Not Available,37.869844,-122.259647,Yes,Yes,No,$10-15,,Closed,7:30am-8pm,7:30am-8pm,7:30am-8pm,7:30am-8pm,7:30am-6pm,Closed
The Pro Shop,Map Marker,Cafe,Recreational Sports Facility,"Sports drinks, fresh juices, fruit, salads, sandwiches, sushi, energy bars, high-energy snacks, and sporting goods.",No,Not Available,37.868808,-122.262377,N,Yes,No,< $10,,8am-9pm,7:30am-11pm,7:30am-11pm,7:30am-11pm,7:30am-11pm,7:30am-11pm,8am-9pm
Bear's Lair,Map Marker,Cafe,Eshleman Hall,On-campus pub featuring craft beer and a variety of local and seasonal ingredients.,No,Not Available,37.868708,-122.260377,Yes,No,No,> $15,,11am-7pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm,11am-10pm
The Faculty Club,Map Marker,Cafe,Men's Faculty Club,"Made up of the Faculty Club Bar, the formal Clark Kerr Dining Room with table service, and the more relaxed Great Hall, with a lunch grill, sandwich station, hot buffet, and salad line, all using organic and local ingredients whenever possible.",No,Not Available,37.871669,-122.256155,No,No,No,> $15,,Closed,"7:30am - 10am, 11:30am - 1:30pm, 4:30pm - 8:30pm","7:30am - 10am, 11:30am - 1:30pm, 4:30pm - 8:30pm","7:30am - 10am, 11:30am - 1:30pm, 4:30pm - 8:30pm","7:30am - 10am, 11:30am - 1:30pm, 4:30pm - 8:30pm","7:30am - 10am, 11:30am - 1:30pm, 4:30pm - 8:30pm",Closed
The Women's Faculty Club ,Map Marker,Cafe,Women's Faculty Club,"Private dining room for members and guests with Safe Harbor-certified fish, free range chicken, cage-free eggs, Fair Trade coffee, and local, organic produce when possible.",No,Not Available,37.872029,-122.254891,N,No,No,> $15,,Closed,11:30am - 1:30pm ,11:30am - 1:30pm ,11:30am - 1:30pm ,11:30am - 1:30pm ,11:30am - 1:30pm ,Closed
A Girl Named Pinky,Map Marker,Cafe,"Martin Luther King, Jr. Student Union",A Girl Named Pinky is dedicated to delivering custom cakes and desserts for special occasions in the SF Bay Area.,No,Not Available,37.869177,-122.259804,Yes,No,No,< $10,,Closed,10:00am - 4:00pm,10:00am - 4:00pm,10:00am - 4:00pm,11:00am-4:00pm,10:00am - 4:00pm,Closed
Bay View Cafe Cafeteria,Map Marker,Cafe,Lawrence Berkeley National Lab,"A certified Bay Area Green Business, the Cafe serves a wide variety of fresh entrees, including local produce, free-range chicken, grass-fed beef, cage-free eggs, dolphin-free tuna, and olive oil for cooking.",No,Not Available,37.875891,-122.250783,No,No,No,$10-15,,Closed,"7:30 - 9:30am, 11:30am - 2pm, 7:30am - 3pm","7:30 - 9:30am, 11:30am - 2pm, 7:30am - 3pm","7:30 - 9:30am, 11:30am - 2pm, 7:30am - 3pm","7:30 - 9:30am, 11:30am - 2pm, 7:30am - 3pm","7:30 - 9:30am, 11:30am - 2pm, 7:30am - 3pm",Closed
Bay View Cafe Stand,Map Marker,Cafe,Lawrence Hall of Science,"Coffee kiosk serving locally-roasted Sightglass coffee and Starter Bakery pastries along with healthy, grab-and-go salads, sandwiches, and snacks.",No,Not Available,37.879011,-122.246621,No,No,No,$10-15,,10am-4pm,10am-3pm,10am-3pm,10am-3pm,10am-3pm,10am-3pm,10am-4pm
Pinky & Reds,Map Marker,Cafe,"Martin Luther King, Jr. Student Union","Bernadine and Chef Sicily, aka Pinky & Red, a mother-daughter team, serving Delicious Goodness on a Sandwich.",No,Not Available,37.869104,-122.259495,Yes,No,No,< $10,,Closed,7am-7pm,7am-7pm,7am-7pm,7am-7pm,7am-7pm,Closed
Eunice Cafe 2,Map Marker,Cafe,Richmond Field Station,"Small cafe serving coffee, tea, sandwiches, and snacks.",No,Not Available,37.91666,-122.332637,No,No,No,$10-15,,Closed,8am - 3pm,8am - 3pm,8am - 3pm,8am - 3pm,8am - 3pm,Closed
Rice and Bones,Map Marker,Cafe,Wurster Hall,"Vietnamese-inspired entrees and small plates from Cal alum Charles Phan's Slanted Door Group, serving vegetable-driven dishes and grass-fed/organic meat.",No,Not Available,37.870544,-122.254972,Yes,No,Yes,> $15,,Closed,"8am - 11am, 12pm - 5pm","8am - 11am, 12pm - 5pm","8am - 11am, 12pm - 5pm","8am - 11am, 12pm - 5pm","8am - 11am, 12pm - 5pm",Closed
TeaOne Tea and Coffee,Map Marker,Cafe,Eshleman Hall,"Local chain serving a variety of milk teas, tea lattes, smoothies, and coffee, along with some snacks.",No,Not Available,37.868766,-122.260216,Yes,No,No,< $10,,12pm - 5pm,11am - 7pm,11am - 7pm,11am - 7pm,11am - 7pm,11am - 7pm,12pm - 5pm
TeaOne Tea and Coffee,Map Marker,Cafe,Cory Hall,"Local chain serving a variety of milk teas, tea lattes, smoothies, and coffee, along with some snacks.",No,Not Available,37.87504,-122.257492,Yes,No,No,< $10,,Closed,9am - 6pm,9am - 6pm,9am - 6pm,9am - 6pm,9am - 6pm,Closed
The Coffee Lab,Map Marker,Cafe,Hildebrand Hall,"Small cafe serving coffee, tea, and sandwiches.",No,Not Available,37.872784,-122.255826,Yes,No,No,< $10,,Closed,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,Closed
V&A Cafe,Map Marker,Cafe,Etcheverry Hall,Run by the owners of Nefeli Caffe on Euclid,No,Not Available,37.87551,-122.259171,Yes,No,No,$10-15,,Closed,7am - 6:30pm,7am - 6:30pm,7am - 6:30pm,7am - 6:30pm,7am - 6:30pm,Closed
Cafe Think,Map Marker,Cafe,Chou Hall,Cafe with plant-forward meals following International WELL Building Institute standards requiring fresh wholesome foods and encouraging better eating habits.,No,Not Available,37.872499,-122.254577,Yes,Yes,Yes,$10-15,,9am-3pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 9pm,7am - 4pm,7am - 4pm
Cafe Zeb,Map Marker,Cafe,Boalt Hall,"Cafe inside Boalt Hall serving coffee, tea, and a variety of paninis, sandwiches, quesadillas, and salads.",No,Not Available,37.869787,-122.253333,Yes,Yes,No,$10-15,,Closed,6:30am - 7pm,6:30am - 7pm,6:30am - 7pm,6:30am - 7pm,6:30am - 4pm,Closed
Free Speech Movement Cafe,Map Marker,Cafe,Moffitt Library,"Cafe honoring the Free Speech Movement at Berkeley, serving coffee and tea, soups, salads and sandwiches made with local, sustainable or organic ingredients when available.",No,Not Available,37.87239,-122.260963,Yes,Yes,No,< $10,,1pm - 2am,6:30am - 2am,6:30am - 2am,6:30am - 2am,6:30am - 2am,6:30am - 10pm,9am - 10pm
Press,Map Marker,Cafe,Moffitt Library,"Outdoor coffee stand serving coffees and teas, soft-serve ice cream, smoothies, soups, paleo muffins and other baked goods, and hot wraps.",No,Not Available,37.872761,-122.260427,Yes,No,No,< $10,,Closed,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,7:30am-5:30pm,Closed
Micro Yali's,Map Marker,Cafe,Valley Life Sciences Buiilding,Micro Yaliâ is a certified Bay Area Green Business serving coffee and snacks.,No,Not Available,37.871611,-122.261803,Yes,No,No,< $10,,Closed,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,7:30am - 3pm,Closed
Yali's Coffee Shop,Map Marker,Cafe,Stanley Hall,"Yaliâ is a certified Bay Area Green Business serving coffee, snacks, and light meals using local, sustainable, fresh ingredients when possible.",No,Not Available,37.873912,-122.256486,Yes,Yes,Yes,< $10,,Closed,7am - 6pm,7am - 6pm,7am - 6pm,7am - 6pm,7am - 5pm,Closed
Qualcomm Cafe,Map Marker,Cafe,Sutardja Dai Hall,"Yaliâ is a certified Bay Area Green Business serving coffee, snacks, and light meals using local, sustainable, fresh ingredients when possible.",No,Not Available,37.874711,-122.258636,Yes,Yes,No,$10-15,,Closed,7am - 6pm,7am - 6pm,7am - 6pm,7am - 6pm,7am - 5pm,Closed
